 #calculated the component:  1  1  of dielectric function
 #broadening:    0.000000E+00    3.674931E-03
 #scissors shift:    0.000000E+00
 #energy window:    1.336595E+02eV    4.911895E+00Ha
 
 # Energy(eV)         Im(eps(w))
    5.450100E+00    4.269885E+00
    5.500101E+00    4.433797E+00
    5.550102E+00    4.447264E+00
    5.600103E+00    4.299504E+00
    5.650104E+00    4.083598E+00
    5.700105E+00    3.807302E+00
    5.750106E+00    3.520915E+00
    5.800106E+00    3.253956E+00
    5.850107E+00    3.096226E+00
    5.900108E+00    3.075211E+00
 
 
 # Energy(eV)         abs(eps(w))
    5.000092E-02    7.706077E+00
    1.000018E-01    7.709919E+00
    1.500028E-01    7.716351E+00
    2.000037E-01    7.725415E+00
    2.500046E-01    7.737173E+00
    3.000055E-01    7.751707E+00
    3.500064E-01    7.769123E+00
    4.000073E-01    7.789554E+00
    4.500083E-01    7.813164E+00
    5.000092E-01    7.840156E+00
    5.500101E-01    7.870780E+00
    6.000110E-01    7.905345E+00
    6.500119E-01    7.944237E+00
    7.000128E-01    7.987939E+00
    7.500138E-01    8.037069E+00
    8.000147E-01    8.092420E+00
    8.500156E-01    8.155026E+00
    9.000165E-01    8.226227E+00
    9.500174E-01    8.307689E+00
    1.000018E+00    8.401099E+00
    1.050019E+00    8.506309E+00
    1.100020E+00    8.613109E+00
    1.150021E+00    8.677783E+00
    1.200022E+00    8.643621E+00
    1.250023E+00    8.593475E+00
    1.300024E+00    8.649334E+00
    1.350025E+00    8.816481E+00
    1.400026E+00    9.034142E+00
    1.450027E+00    9.236738E+00
    1.500028E+00    9.276519E+00
    1.550028E+00    9.052474E+00
    1.600029E+00    8.859548E+00
    1.650030E+00    8.863147E+00
    1.700031E+00    8.895588E+00
    1.750032E+00    8.876324E+00
    1.800033E+00    8.844801E+00
    1.850034E+00    8.920368E+00
    1.900035E+00    9.135540E+00
    1.950036E+00    9.308213E+00
    2.000037E+00    9.381391E+00
    2.050038E+00    9.466055E+00
    2.100039E+00    9.507194E+00
    2.150039E+00    9.613984E+00
    2.200040E+00    9.773416E+00
    2.250041E+00    9.838705E+00
    2.300042E+00    9.661057E+00
    2.350043E+00    9.492320E+00
    2.400044E+00    9.584143E+00
    2.450045E+00    9.767682E+00
    2.500046E+00    9.994184E+00
    2.550047E+00    1.026515E+01
    2.600048E+00    1.057820E+01
    2.650049E+00    1.077306E+01
    2.700050E+00    1.061560E+01
    2.750050E+00    1.019578E+01
    2.800051E+00    9.737187E+00
    2.850052E+00    9.349625E+00
    2.900053E+00    9.020757E+00
    2.950054E+00    8.886352E+00
    3.000055E+00    8.949310E+00
    3.050056E+00    9.089415E+00
    3.100057E+00    9.178876E+00
    3.150058E+00    9.347146E+00
    3.200059E+00    9.524399E+00
    3.250060E+00    9.607738E+00
    3.300061E+00    9.659755E+00
    3.350061E+00    9.534070E+00
    3.400062E+00    9.115322E+00
    3.450063E+00    8.527375E+00
    3.500064E+00    8.018511E+00
    3.550065E+00    7.794303E+00
    3.600066E+00    7.770393E+00
    3.650067E+00    7.773601E+00
    3.700068E+00    7.778950E+00
    3.750069E+00    7.929174E+00
    3.800070E+00    8.104624E+00
    3.850071E+00    8.168240E+00
    3.900072E+00    8.241713E+00
    3.950073E+00    8.425101E+00
    4.000073E+00    8.648870E+00
    4.050074E+00    8.896400E+00
    4.100075E+00    9.191101E+00
    4.150076E+00    9.461301E+00
    4.200077E+00    9.590351E+00
    4.250078E+00    9.618070E+00
    4.300079E+00    9.706706E+00
    4.350080E+00    9.852039E+00
    4.400081E+00    9.965143E+00
    4.450082E+00    1.010767E+01
    4.500083E+00    1.020617E+01
    4.550084E+00    1.024919E+01
    4.600084E+00    1.031259E+01
    4.650085E+00    1.031979E+01
    4.700086E+00    1.033576E+01
    4.750087E+00    1.037067E+01
    4.800088E+00    1.032623E+01
    4.850089E+00    1.029788E+01
    4.900090E+00    1.025466E+01
    4.950091E+00    1.003944E+01
    5.000092E+00    9.818329E+00
    5.050093E+00    9.654058E+00
    5.100094E+00    9.441979E+00
    5.150095E+00    9.277441E+00
    5.200095E+00    9.164507E+00
    5.250096E+00    9.033579E+00
    5.300097E+00    8.958480E+00
    5.350098E+00    8.870339E+00
    5.400099E+00    8.708839E+00
    5.450100E+00    8.654241E+00
    5.500101E+00    8.821460E+00
    5.550102E+00    9.050998E+00
    5.600103E+00    9.183081E+00
    5.650104E+00    9.238714E+00
    5.700105E+00    9.213500E+00
    5.750106E+00    9.112872E+00
    5.800106E+00    8.937202E+00
    5.850107E+00    8.731710E+00
    5.900108E+00    8.627547E+00
 
 
 # Energy(eV)         Im(refractive index(w)) aka kappa
    5.000092E-02    9.283243E-04
    1.000018E-01    1.862416E-03
    1.500028E-01    2.808214E-03
    2.000037E-01    3.772017E-03
    2.500046E-01    4.760689E-03
    3.000055E-01    5.781924E-03
    3.500064E-01    6.844565E-03
    4.000073E-01    7.959036E-03
    4.500083E-01    9.137933E-03
    5.000092E-01    1.039685E-02
    5.500101E-01    1.175558E-02
    6.000110E-01    1.323993E-02
    6.500119E-01    1.488452E-02
    7.000128E-01    1.673728E-02
    7.500138E-01    1.886694E-02
    8.000147E-01    2.137623E-02
    8.500156E-01    2.442600E-02
    9.000165E-01    2.828205E-02
    9.500174E-01    3.341090E-02
    1.000018E+00    4.068235E-02
    1.050019E+00    5.177729E-02
    1.100020E+00    6.963844E-02
    1.150021E+00    9.590846E-02
    1.200022E+00    1.181018E-01
    1.250023E+00    1.195712E-01
    1.300024E+00    1.103368E-01
    1.350025E+00    1.102578E-01
    1.400026E+00    1.283812E-01
    1.450027E+00    1.700666E-01
    1.500028E+00    2.326893E-01
    1.550028E+00    2.730041E-01
    1.600029E+00    2.673686E-01
    1.650030E+00    2.586522E-01
    1.700031E+00    2.677861E-01
    1.750032E+00    2.752116E-01
    1.800033E+00    2.714255E-01
    1.850034E+00    2.566875E-01
    1.900035E+00    2.598526E-01
    1.950036E+00    2.885943E-01
    2.000037E+00    3.131335E-01
    2.050038E+00    3.367671E-01
    2.100039E+00    3.579338E-01
    2.150039E+00    3.729247E-01
    2.200040E+00    4.068067E-01
    2.250041E+00    4.582264E-01
    2.300042E+00    4.963380E-01
    2.350043E+00    4.843506E-01
    2.400044E+00    4.724252E-01
    2.450045E+00    4.813570E-01
    2.500046E+00    5.027113E-01
    2.550047E+00    5.400586E-01
    2.600048E+00    6.029650E-01
    2.650049E+00    7.024141E-01
    2.700050E+00    8.008219E-01
    2.750050E+00    8.574477E-01
    2.800051E+00    8.692164E-01
    2.850052E+00    8.603571E-01
    2.900053E+00    8.277107E-01
    2.950054E+00    7.864523E-01
    3.000055E+00    7.615502E-01
    3.050056E+00    7.651411E-01
    3.100057E+00    7.753444E-01
    3.150058E+00    7.918240E-01
    3.200059E+00    8.345243E-01
    3.250060E+00    8.837893E-01
    3.300061E+00    9.439727E-01
    3.350061E+00    1.015494E+00
    3.400062E+00    1.059753E+00
    3.450063E+00    1.048758E+00
    3.500064E+00    9.864078E-01
    3.550065E+00    9.159392E-01
    3.600066E+00    8.701965E-01
    3.650067E+00    8.425309E-01
    3.700068E+00    8.084010E-01
    3.750069E+00    7.840272E-01
    3.800070E+00    7.875246E-01
    3.850071E+00    7.898548E-01
    3.900072E+00    7.762898E-01
    3.950073E+00    7.691248E-01
    4.000073E+00    7.755357E-01
    4.050074E+00    7.897030E-01
    4.100075E+00    8.180556E-01
    4.150076E+00    8.667700E-01
    4.200077E+00    9.185658E-01
    4.250078E+00    9.510380E-01
    4.300079E+00    9.729587E-01
    4.350080E+00    1.007354E+00
    4.400081E+00    1.042603E+00
    4.450082E+00    1.083065E+00
    4.500083E+00    1.131198E+00
    4.550084E+00    1.171576E+00
    4.600084E+00    1.214394E+00
    4.650085E+00    1.256324E+00
    4.700086E+00    1.291843E+00
    4.750087E+00    1.337003E+00
    4.800088E+00    1.378235E+00
    4.850089E+00    1.414540E+00
    4.900090E+00    1.463221E+00
    4.950091E+00    1.495588E+00
    5.000092E+00    1.504897E+00
    5.050093E+00    1.517465E+00
    5.100094E+00    1.520631E+00
    5.150095E+00    1.515768E+00
    5.200095E+00    1.517320E+00
    5.250096E+00    1.514901E+00
    5.300097E+00    1.513606E+00
    5.350098E+00    1.518681E+00
    5.400099E+00    1.506057E+00
    5.450100E+00    1.480601E+00
    5.500101E+00    1.481159E+00
    5.550102E+00    1.517191E+00
    5.600103E+00    1.562622E+00
    5.650104E+00    1.605477E+00
    5.700105E+00    1.644110E+00
    5.750106E+00    1.672118E+00
    5.800106E+00    1.685711E+00
    5.850107E+00    1.678613E+00
    5.900108E+00    1.666184E+00
 
 
 # Energy(eV)         Re(refractive index(w)) aka n
    5.000092E-02    2.775982E+00
    1.000018E-01    2.776674E+00
    1.500028E-01    2.777831E+00
    2.000037E-01    2.779461E+00
    2.500046E-01    2.781573E+00
    3.000055E-01    2.784183E+00
    3.500064E-01    2.787306E+00
    4.000073E-01    2.790966E+00
    4.500083E-01    2.795189E+00
    5.000092E-01    2.800009E+00
    5.500101E-01    2.805466E+00
    6.000110E-01    2.811613E+00
    6.500119E-01    2.818513E+00
    7.000128E-01    2.826245E+00
    7.500138E-01    2.834910E+00
    8.000147E-01    2.844638E+00
    8.500156E-01    2.855596E+00
    9.000165E-01    2.868000E+00
    9.500174E-01    2.882113E+00
    1.000018E+00    2.898179E+00
    1.050019E+00    2.916098E+00
    1.100020E+00    2.933984E+00
    1.150021E+00    2.944246E+00
    1.200022E+00    2.937630E+00
    1.250023E+00    2.929023E+00
    1.300024E+00    2.938905E+00
    1.350025E+00    2.967208E+00
    1.400026E+00    3.002942E+00
    1.450027E+00    3.034438E+00
    1.500028E+00    3.036836E+00
    1.550028E+00    2.996321E+00
    1.600029E+00    2.964467E+00
    1.650030E+00    2.965847E+00
    1.700031E+00    2.970501E+00
    1.750032E+00    2.966578E+00
    1.800033E+00    2.961609E+00
    1.850034E+00    2.975648E+00
    1.900035E+00    3.011315E+00
    1.950036E+00    3.037256E+00
    2.000037E+00    3.046857E+00
    2.050038E+00    3.058209E+00
    2.100039E+00    3.062528E+00
    2.150039E+00    3.078134E+00
    2.200040E+00    3.099665E+00
    2.250041E+00    3.103020E+00
    2.300042E+00    3.068339E+00
    2.350043E+00    3.042651E+00
    2.400044E+00    3.059568E+00
    2.450045E+00    3.088038E+00
    2.500046E+00    3.121132E+00
    2.550047E+00    3.158083E+00
    2.600048E+00    3.196033E+00
    2.650049E+00    3.206193E+00
    2.700050E+00    3.158209E+00
    2.750050E+00    3.075803E+00
    2.800051E+00    2.996940E+00
    2.850052E+00    2.934180E+00
    2.900053E+00    2.887153E+00
    2.950054E+00    2.875386E+00
    3.000055E+00    2.892983E+00
    3.050056E+00    2.916157E+00
    3.100057E+00    2.928774E+00
    3.150058E+00    2.952992E+00
    3.200059E+00    2.971190E+00
    3.250060E+00    2.970969E+00
    3.300061E+00    2.961194E+00
    3.350061E+00    2.915963E+00
    3.400062E+00    2.827056E+00
    3.450063E+00    2.725341E+00
    3.500064E+00    2.654338E+00
    3.550065E+00    2.637301E+00
    3.600066E+00    2.648235E+00
    3.650067E+00    2.657770E+00
    3.700068E+00    2.669352E+00
    3.750069E+00    2.704529E+00
    3.800070E+00    2.735768E+00
    3.850071E+00    2.746702E+00
    3.900072E+00    2.763890E+00
    3.950073E+00    2.798848E+00
    4.000073E+00    2.836796E+00
    4.050074E+00    2.876242E+00
    4.100075E+00    2.919227E+00
    4.150076E+00    2.951273E+00
    4.200077E+00    2.957463E+00
    4.250078E+00    2.951880E+00
    4.300079E+00    2.959739E+00
    4.350080E+00    2.972756E+00
    4.400081E+00    2.979618E+00
    4.450082E+00    2.989086E+00
    4.500083E+00    2.987736E+00
    4.550084E+00    2.979363E+00
    4.600084E+00    2.972849E+00
    4.650085E+00    2.956593E+00
    4.700086E+00    2.943960E+00
    4.750087E+00    2.929692E+00
    4.800088E+00    2.902877E+00
    4.850089E+00    2.880443E+00
    4.900090E+00    2.848447E+00
    4.950091E+00    2.793323E+00
    5.000092E+00    2.748384E+00
    5.050093E+00    2.711339E+00
    5.100094E+00    2.670142E+00
    5.150095E+00    2.641947E+00
    5.200095E+00    2.619589E+00
    5.250096E+00    2.595892E+00
    5.300097E+00    2.582146E+00
    5.350098E+00    2.562020E+00
    5.400099E+00    2.537840E+00
    5.450100E+00    2.542059E+00
    5.500101E+00    2.574418E+00
    5.550102E+00    2.597909E+00
    5.600103E+00    2.596400E+00
    5.650104E+00    2.580922E+00
    5.700105E+00    2.551549E+00
    5.750106E+00    2.513343E+00
    5.800106E+00    2.468923E+00
    5.850107E+00    2.431865E+00
    5.900108E+00    2.418962E+00
 
 
 # Energy(eV)         Reflectivity(w) from vacuum, at normal incidence
    5.000092E-02    2.775982E+00
    1.000018E-01    2.776674E+00
    1.500028E-01    2.777831E+00
    2.000037E-01    2.779461E+00
    2.500046E-01    2.781573E+00
    3.000055E-01    2.784183E+00
    3.500064E-01    2.787306E+00
    4.000073E-01    2.790966E+00
    4.500083E-01    2.795189E+00
    5.000092E-01    2.800009E+00
    5.500101E-01    2.805466E+00
    6.000110E-01    2.811613E+00
    6.500119E-01    2.818513E+00
    7.000128E-01    2.826245E+00
    7.500138E-01    2.834910E+00
    8.000147E-01    2.844638E+00
    8.500156E-01    2.855596E+00
    9.000165E-01    2.868000E+00
    9.500174E-01    2.882113E+00
    1.000018E+00    2.898179E+00
    1.050019E+00    2.916098E+00
    1.100020E+00    2.933984E+00
    1.150021E+00    2.944246E+00
    1.200022E+00    2.937630E+00
    1.250023E+00    2.929023E+00
    1.300024E+00    2.938905E+00
    1.350025E+00    2.967208E+00
    1.400026E+00    3.002942E+00
    1.450027E+00    3.034438E+00
    1.500028E+00    3.036836E+00
    1.550028E+00    2.996321E+00
    1.600029E+00    2.964467E+00
    1.650030E+00    2.965847E+00
    1.700031E+00    2.970501E+00
    1.750032E+00    2.966578E+00
    1.800033E+00    2.961609E+00
    1.850034E+00    2.975648E+00
    1.900035E+00    3.011315E+00
    1.950036E+00    3.037256E+00
    2.000037E+00    3.046857E+00
    2.050038E+00    3.058209E+00
    2.100039E+00    3.062528E+00
    2.150039E+00    3.078134E+00
    2.200040E+00    3.099665E+00
    2.250041E+00    3.103020E+00
    2.300042E+00    3.068339E+00
    2.350043E+00    3.042651E+00
    2.400044E+00    3.059568E+00
    2.450045E+00    3.088038E+00
    2.500046E+00    3.121132E+00
    2.550047E+00    3.158083E+00
    2.600048E+00    3.196033E+00
    2.650049E+00    3.206193E+00
    2.700050E+00    3.158209E+00
    2.750050E+00    3.075803E+00
    2.800051E+00    2.996940E+00
    2.850052E+00    2.934180E+00
    2.900053E+00    2.887153E+00
    2.950054E+00    2.875386E+00
    3.000055E+00    2.892983E+00
    3.050056E+00    2.916157E+00
    3.100057E+00    2.928774E+00
    3.150058E+00    2.952992E+00
    3.200059E+00    2.971190E+00
    3.250060E+00    2.970969E+00
    3.300061E+00    2.961194E+00
    3.350061E+00    2.915963E+00
    3.400062E+00    2.827056E+00
    3.450063E+00    2.725341E+00
    3.500064E+00    2.654338E+00
    3.550065E+00    2.637301E+00
    3.600066E+00    2.648235E+00
    3.650067E+00    2.657770E+00
    3.700068E+00    2.669352E+00
    3.750069E+00    2.704529E+00
    3.800070E+00    2.735768E+00
    3.850071E+00    2.746702E+00
    3.900072E+00    2.763890E+00
    3.950073E+00    2.798848E+00
    4.000073E+00    2.836796E+00
    4.050074E+00    2.876242E+00
    4.100075E+00    2.919227E+00
    4.150076E+00    2.951273E+00
    4.200077E+00    2.957463E+00
    4.250078E+00    2.951880E+00
    4.300079E+00    2.959739E+00
    4.350080E+00    2.972756E+00
    4.400081E+00    2.979618E+00
    4.450082E+00    2.989086E+00
    4.500083E+00    2.987736E+00
    4.550084E+00    2.979363E+00
    4.600084E+00    2.972849E+00
    4.650085E+00    2.956593E+00
    4.700086E+00    2.943960E+00
    4.750087E+00    2.929692E+00
    4.800088E+00    2.902877E+00
    4.850089E+00    2.880443E+00
    4.900090E+00    2.848447E+00
    4.950091E+00    2.793323E+00
    5.000092E+00    2.748384E+00
    5.050093E+00    2.711339E+00
    5.100094E+00    2.670142E+00
    5.150095E+00    2.641947E+00
    5.200095E+00    2.619589E+00
    5.250096E+00    2.595892E+00
    5.300097E+00    2.582146E+00
    5.350098E+00    2.562020E+00
    5.400099E+00    2.537840E+00
    5.450100E+00    2.542059E+00
    5.500101E+00    2.574418E+00
    5.550102E+00    2.597909E+00
    5.600103E+00    2.596400E+00
    5.650104E+00    2.580922E+00
    5.700105E+00    2.551549E+00
    5.750106E+00    2.513343E+00
    5.800106E+00    2.468923E+00
    5.850107E+00    2.431865E+00
    5.900108E+00    2.418962E+00
 
 
 # Energy(eV)         absorption coeff (in m-1) = omega Im(eps) / c n(eps)
    5.000092E-02    4.704584E+02
    1.000018E-01    1.887679E+03
    1.500028E-01    4.269461E+03
    2.000037E-01    7.646367E+03
    2.500046E-01    1.206317E+04
    3.000055E-01    1.758106E+04
    3.500064E-01    2.428094E+04
    4.000073E-01    3.226800E+04
    4.500083E-01    4.167850E+04
    5.000092E-01    5.268940E+04
    5.500101E-01    6.553273E+04
    6.000110E-01    8.051718E+04
    6.500119E-01    9.806180E+04
    7.000128E-01    1.187502E+05
    7.500138E-01    1.434215E+05
    8.000147E-01    1.733296E+05
    8.500156E-01    2.104374E+05
    9.000165E-01    2.579913E+05
    9.500174E-01    3.217091E+05
    1.000018E+00    4.123420E+05
    1.050019E+00    5.510362E+05
    1.100020E+00    7.764139E+05
    1.150021E+00    1.117909E+06
    1.200022E+00    1.436447E+06
    1.250023E+00    1.514915E+06
    1.300024E+00    1.453836E+06
    1.350025E+00    1.508671E+06
    1.400026E+00    1.821717E+06
    1.450027E+00    2.499416E+06
    1.500028E+00    3.537685E+06
    1.550028E+00    4.288964E+06
    1.600029E+00    4.335927E+06
    1.650030E+00    4.325653E+06
    1.700031E+00    4.614115E+06
    1.750032E+00    4.881535E+06
    1.800033E+00    4.951932E+06
    1.850034E+00    4.813134E+06
    1.900035E+00    5.004172E+06
    1.950036E+00    5.703926E+06
    2.000037E+00    6.347622E+06
    2.050038E+00    6.997374E+06
    2.100039E+00    7.618571E+06
    2.150039E+00    8.126643E+06
    2.200040E+00    9.071150E+06
    2.250041E+00    1.044995E+07
    2.300042E+00    1.157063E+07
    2.350043E+00    1.153664E+07
    2.400044E+00    1.149201E+07
    2.450045E+00    1.195322E+07
    2.500046E+00    1.273826E+07
    2.550047E+00    1.395830E+07
    2.600048E+00    1.588975E+07
    2.650049E+00    1.886647E+07
    2.700050E+00    2.191549E+07
    2.750050E+00    2.389967E+07
    2.800051E+00    2.466820E+07
    2.850052E+00    2.485279E+07
    2.900053E+00    2.432922E+07
    2.950054E+00    2.351505E+07
    3.000055E+00    2.315641E+07
    3.050056E+00    2.365336E+07
    3.100057E+00    2.436172E+07
    3.150058E+00    2.528080E+07
    3.200059E+00    2.706702E+07
    3.250060E+00    2.911278E+07
    3.300061E+00    3.157366E+07
    3.350061E+00    3.448050E+07
    3.400062E+00    3.652035E+07
    3.450063E+00    3.667295E+07
    3.500064E+00    3.499259E+07
    3.550065E+00    3.295691E+07
    3.600066E+00    3.175202E+07
    3.650067E+00    3.116953E+07
    3.700068E+00    3.031657E+07
    3.750069E+00    2.979984E+07
    3.800070E+00    3.033188E+07
    3.850071E+00    3.082191E+07
    3.900072E+00    3.068598E+07
    3.950073E+00    3.079253E+07
    4.000073E+00    3.144223E+07
    4.050074E+00    3.241682E+07
    4.100075E+00    3.399525E+07
    4.150076E+00    3.645889E+07
    4.200077E+00    3.910309E+07
    4.250078E+00    4.096739E+07
    4.300079E+00    4.240474E+07
    4.350080E+00    4.441432E+07
    4.400081E+00    4.649683E+07
    4.450082E+00    4.885016E+07
    4.500083E+00    5.159441E+07
    4.550084E+00    5.402979E+07
